frameName,numFrameElements,coreTypes,elementNames,descriptions,frameType,classificationExplanation
Abandonment,9,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Theme', 'Place', 'Time', 'Manner', 'Duration', 'Degree', 'Means', 'Purpose']","['The person who acts to leave behind the #Theme.', ""The entity that is relinquished to no one from the #Agent's possession."", 'The location where the #Agent gives up the #Theme.', 'When the #Agent gives up the #Theme.', 'The style in which the #Agent gives up the #Theme.', 'For what expanse of time the #Agent has given up the #Theme.', 'The extent to which the #Agent leaves the #Theme behind.', 'An action performed by the #Agent that accomplishes the action indicated by the target.', 'The purpose for which the #Agent abandons the #Theme.']","['Attribute', 'Event', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Abounding_with,4,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Theme', 'Location', 'Degree', 'Time']","['The #Theme covers or fills the #Location.  This FE most frequently occurs in a PP Complement headed by with or in.', 'It is the object or area that the #Theme fills or covers.  This frame element generally occurs as the External Argument.', 'It identifies the #Degree of abundance with which the #Theme covers or fills the #Location.', 'The period of time during which the Abounding_with event occurs.']","['Attribute', 'Event', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Absorb_heat,9,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Entity', 'Container', 'Heat_source', 'Place', 'Medium', 'Manner', 'Time', 'Temperature', 'Duration']","['The #Entity (often a food item) that absorbs heat.', 'The #Container that holds the #Entity that absorbs the heat.', 'The object that directly supplies heat to the #Entity.', 'Where the heat application occurs.', 'A substance through which heat is absorbed by the #Entity.', 'Any description of the cooking event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way).', 'The #Time when the heat absorption takes place.', 'The temperature that the #Entity stays at, resulting in change.', 'The length of time that the #Entity is exposed to heat.']","['Event', 'Image Schema', 'Entity', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Involves topological/kinesthetic primitives: Path, Container, Force.; Focuses on discrete items (Entity, Object); lacks dynamic roles.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Abundance,5,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Collection', 'Quantity', 'Place', 'Degree', 'Measure']","['The #Collection whose #Quantity is under consideration.', 'The feature of an #Collection which is under discussion. This FE is incorporated by all the lexical units in this frame.', 'The location in which the #Collection occurs.', 'A modifier expressing the deviation of the #Measure from the norm or from the value for another #Collection.', 'The measure of the #Quantity, which is incorporated by the lexical units.']","['Attribute', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Abusing,10,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Abuser', 'Victim', 'Type', 'Place', 'Time', 'Manner', 'Means', 'Instrument', 'Purpose', 'Duration']","['The #Abuser subjects the #Victim to repeated verbal, physical, emotional or sexual attacks.', ""It is the recipient of the #Abuser's actions."", 'It is used for the domain in which the #Abuser mistreats the #Victim.', 'It identifies the #Place where the abuse occurs.', 'It identifies the #Time when the abuse occurs.', 'It is used for any description of the abuse event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of an #Abuser that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).', 'It identifies the #Means by which the #Abuser accomplishes the abuse.', 'An entity used by the #Abuser to accomplish the abuse.', 'An action that the #Abuser intends to accomplish by performing the abuse. ', 'The amount of time that abuse occurs.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Access_scenario,3,"['cty_core', 'cty_core', 'cty_core']","['Theme', 'Useful_location', 'Barrier']","['The #Theme whose motion is blocked or free.', 'The place or thing that the #Theme is headed towards, despite a potential or actual #Barrier.', 'An entity that (at least potentially) prevents the #Theme from getting to the #Useful_location.']",['Event'],"Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner."
Accident,7,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Accident', 'Victim', 'Type', 'Place', 'Time', 'Cause', 'Description']","['Accident', 'Victim', 'Type', 'Place', 'Time', 'Cause', 'Description']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Accident_description,3,"['cty_core', 'cty_core', 'cty_peripheral']","['Accident', 'Description', 'Degree']","['Accident', 'Description', 'Degree']",['Attribute'],"FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder."
Accommodation,6,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Lodge', 'Rate', 'Type', 'Place', 'Tourist', 'Purpose']","['The commercial lodge that offers accommodation to tourists.', 'It indicates the characteristics of #Lodge in relation to aspects of accommodation, such as luxury, price and number of stars.', 'Which is the type of establishment offering its services. Usually, #Types are defined in regards to the #Lodge s location, such as farm or jungle hotels, or to some specific characteristic other than the ones covered by the #Rate, such as green hotels.', 'The #Place where the #Lodge is located.', 'The individual or group that use the #Lodge.', 'Some specific action made possible by the #Lodge.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Accompaniment,3,"['cty_core', 'cty_core', 'cty_core']","['Participant', 'Co-participant', 'Participants']","['It is the accompanied entity (person or object).', 'It is the accompanying entity (person or object).', 'Two or more entities construed as symmetrically and usually equally participating in an event or relation.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
