idFrame,name,description
908,Abandonment,"An [Agent|Agent] leaves behind a [Theme|Theme] effectively rendering it no longer within their control or of the normal security as one's property.

<ex>[Carolyn|Agent] [abandoned|Target] [her car|Theme] and jumped on a red double decker bus.</ex>

<ex>Perhaps [he|Agent] [left|Target] [the key|Theme] in the ignition</ex>

<ex>[Abandonment|Target] [of a child|Theme] is considered to be a serious crime in many jurisdictions.</ex>

There are also metaphorically used examples:

<ex>[She|Agent] [left|Target] [her old ways|Theme] [behind|Place] .</ex>"
237,Abounding_with,"A #Location is filled or covered with the #Theme.  The #Location is realized as the External Argument, and the #Theme either as PP complement headed by <ment>with</ment>, <ment>in</ment> or <ment>of</ment>.

NB:  This frame does not include uses of adjectives like <ment>paved</ment> when they merely specify the Type of some location, as in """"paved and unpaved roads"""".

<ex>[The waters of the bay|Location] [teemed|Target] [with fish|Theme].</ex>
<ex>[The waters of the bay|Location] <m>were</m> [teeming|Target] [with fish|Theme].</ex>
<ex>[The road|Location] <m>was</m> [completely|Degree] [covered|Target] [in mud|Theme].</ex> "
469,Absorb_heat,"An #Entity (generally food) is exposed to a #Heat_source whose #Temperature may also be specified.  Generally, the #Entity undergoes some sort of change as a result of this process.

<ex>[Bacon|ent] was [frying|Target] [in the pan|Container], and a great heap of eggs already lay steaming on a plate.</ex>
<ex>If [it|ent] [cooks|Target] [at 400|tem] [for an hour|dur], it 'll be nothing but a pile of ash!</ex>"
721,Abundance,"The #Quantity of a #Collection occurring in a #Place has a particular #Measure. The #Measure of the #Collection is referred to only in terms of how the #Measure diverges from a norm for #Collections of the specified type. #Degree may further refine the relation of the #Measure to the norm.

<ex>[Beauty|Collection] <m>is</m> [abundant|Target] [in a land flowing with snowmelt|pla].</ex>

<ex>Detritus of life [abounds|Target] [in the atmosphere|pla]. </ex>

<ex>There was a recent discovery that [exotic microbes|Collection] [teem|Target] [in the rocks hundreds of metres beneath the floor of the Pacific Ocean|pla].</ex>"
404,Abusing,"In this frame an #Abuser repeatedly treats the #Victim in a cruel and violent way, including physically harming or forcing the #Victim to engage in sexual activity against their will. The #Victim usually lacks the power to resist or fight back. A #Type of abuse may be indicated. There may also be a #Degree. <ex> [Her father|Abuser] [verbally|Type] [abused|Target] [her mother|Victim]. </ex>"
827,Access_scenario,A Theme is or is not capable of entering or accessing a Useful_location because of/despite a Barrier.
1258,Accident,"During her stay at a #Place, the #Tourist can get involved in an #Accident."
1488,Accident_description,
1220,Accommodation,It describes commercial establishments that offer accommodation services to tourists. Usually the establishments are classified  according to their type and/or their quality.
233,Accompaniment,"A #Co-participant fills the same role as the #Participant in an event or relation.
<ex></ex>
<ex>[The mayor|Partic] was killed [along|Target] [with|Target] [three bodyguards and his driver|Co-Th].</ex>

<ex>The doctor told me to take [my regular pill|Partic] [in|Target] [combination|Target] [with the new drug|Co-Th] and I will be cured of my symptoms.</ex>"
675,Accomplishment,"After a period in which the #Agent has been working on a #Goal, the #Agent manages to attain it.  The #Goal may be a desired state, or be conceptualized as an event.
<ex></ex>
<ex>[Jeremey|Agent] [obediently|Manner] [accomplished|Target] [this task|Goal].</ex>

<ex>In response, the Prime Minister has simply cited [his|Agent] [free-market|Domain] [[accomplishments|Goal]|Target]. </ex>
 "
144,Accoutrements,"A #Wearer wears accessories, which are made of  some #Material and may have a #Style.  Most of the accessories are non-essential (clothing) items. <ex>[She|Wearer] wore [a black|Descriptor] [velvet|Material] [hat|Target] [on her head|Body_location].</ex>"
