parent,relation,child
Causation,inheritance,Cause_to_start
Container_focused_removing,inheritance,Emptying
Container_focused_placing,inheritance,Filling
Cause_bodily_experience,inheritance,Cause_harm
Trying_out,inheritance,Tasting
Cause_harm,inheritance,Corporal_punishment
Influencing_potential,inheritance,Authority
Likelihood,inheritance,Run_risk
Attempt,inheritance,Work
Attempt,inheritance,Attempt_suasion
Attempt,inheritance,Attempt_means
Attempt,inheritance,Reject_leadership
Trap,inheritance,Prank
Possession,inheritance,Pre_lose_possession
Possession,inheritance,Post_lose_possession
Possession,inheritance,Pre_getting
Possession,inheritance,Post_getting
Possession,inheritance,Pre_transfer
Possession,inheritance,Post_transfer
Possession,inheritance,Retaining
Possession,inheritance,Bearing_arms
Deception_end,inheritance,Intentional_deception
Deception_end,inheritance,Deception_success
Endeavor_failure,inheritance,Business_closure
Government_institution,inheritance,Law_enforcement_agency
Activity,inheritance,Apply_heat
Inherent_purpose,inheritance,Tool_purpose
Type,inheritance,Biological_classification
Disaster_scenario,inheritance,Fire_emergency_scenario
Emergency,inheritance,Crime
Emergency,inheritance,Natural_disaster
Emergency,inheritance,Disease
Emergency,inheritance,Medical_conditions
Emergency,inheritance,Accident
Reading_activity,inheritance,Reading_perception
Reading_activity,inheritance,Reading_aloud
Conditional_scenario,inheritance,Preferred_alternative_scenario
Manipulation,inheritance,Ingestion
Manipulation,inheritance,Aiming
Alternativity,inheritance,Negation
Alternativity,inheritance,Conditional_scenario
Instance,inheritance,Event_instance
Instance,inheritance,Exemplar
Process_start,inheritance,Activity_start
Process_start,inheritance,Come_into_effect
Giving,inheritance,Commerce_sell
Giving,inheritance,Commerce_pay
Giving,inheritance,Supply
Giving,inheritance,Surrendering_possession
Giving,inheritance,Submitting_documents
Giving,inheritance,Lending
Part_whole,inheritance,Shaped_part
Part_whole,inheritance,Part_orientational
Part_whole,inheritance,Part_edge
Part_whole,inheritance,Part_inner_outer
Part_whole,inheritance,Part_ordered_segments
Part_whole,inheritance,Rest
Part_whole,inheritance,Vehicle_subpart
Part_whole,inheritance,Clothing_parts
Part_whole,inheritance,Artifact_subpart
Part_piece,inheritance,Part_whole
Process_stop,inheritance,Activity_stop
Process_continue,inheritance,Sleep
Process_continue,inheritance,Activity_ongoing
Process_resume,inheritance,Activity_resume
Attempting_and_resolving_scenario,inheritance,Attempt_distant_interaction_scenario
Attempting_and_resolving_scenario,inheritance,Attempt_obtain_food_scenario
Attempting_and_resolving_scenario,inheritance,Attempt_obtain_mineral_scenario
Basis_for_attribute,inheritance,Time_vector
Basis_for_attribute,inheritance,Temporal_collocation
Process_initial_state,inheritance,Activity_ready_state
Process_stopped_state,inheritance,Activity_paused_state
Preventing_or_letting,inheritance,Prevent_or_allow_possession
Preventing_or_letting,inheritance,Self_control
Preventing_or_letting,inheritance,Thwarting
Progression,inheritance,Ontogeny
Transition_to_a_quality,inheritance,Absorb_heat
Transition_to_a_quality,inheritance,Becoming_attached
Transition_to_a_quality,inheritance,Becoming_dry
Transition_to_a_quality,inheritance,Becoming_detached
Transition_to_a_quality,inheritance,Becoming_visible
Transition_to_a_state,inheritance,Ceasing_to_be
Transition_to_a_state,inheritance,Undergo_change
Transition_to_a_state,inheritance,Transition_to_a_situation
Transition_to_a_state,inheritance,Becoming
Undergoing_scenario,inheritance,Violence
Becoming,inheritance,Transition_to_a_quality
Activity_ongoing,inheritance,Retaining
Activity_finish,inheritance,Finish_game
Activity_stop,inheritance,Halt
Activity_ready_state,inheritance,Be_on_alert
Transfer,inheritance,Commerce_goods-transfer
Transfer,inheritance,Commerce_money-transfer
Getting,inheritance,Commerce_collect
Getting,inheritance,Receiving
Getting,inheritance,Amassing
Getting,inheritance,Taking
Getting,inheritance,Commerce_buy
Getting,inheritance,Kidnapping
Quantified_mass,inheritance,Proportional_quantity
Intentionally_act,inheritance,Name_conferral
Intentionally_act,inheritance,Intentionally_affect
Intentionally_act,inheritance,Avoiding
Intentionally_act,inheritance,Intentionally_create
Intentionally_act,inheritance,Ingest_substance
Intentionally_act,inheritance,Choosing
Intentionally_act,inheritance,Self_motion
Intentionally_act,inheritance,Perception_active
Intentionally_act,inheritance,Activity_finish
Intentionally_act,inheritance,Practice
Intentionally_act,inheritance,Heralding
Intentionally_act,inheritance,Get_a_job
Intentionally_act,inheritance,Quitting
Intentionally_act,inheritance,Clemency
Intentionally_act,inheritance,Exchange
Intentionally_act,inheritance,Change_tool
Intentionally_act,inheritance,Resolve_problem
Intentionally_act,inheritance,Intercepting
Intentionally_act,inheritance,Forming_relationships
Intentionally_act,inheritance,Collaboration
Intentionally_act,inheritance,Change_posture
Intentionally_act,inheritance,Bail_decision
Intentionally_act,inheritance,Assistance
Intentionally_act,inheritance,Atonement
Intentionally_act,inheritance,Daring
Intentionally_act,inheritance,Execute_plan
Intentionally_act,inheritance,Becoming_a_member
Intentionally_act,inheritance,Giving
Intentionally_act,inheritance,Front_for
Intentionally_act,inheritance,Examination
Intentionally_act,inheritance,Piracy
Intentionally_act,inheritance,Passing_off
Intentionally_act,inheritance,Hostile_encounter
Intentionally_act,inheritance,Visiting
Intentionally_act,inheritance,Confronting_problem
Intentionally_act,inheritance,Legal_rulings
Intentionally_act,inheritance,Working_a_post
Intentionally_act,inheritance,Military_operation
Intentionally_act,inheritance,Assemble
Intentionally_act,inheritance,Attending
Intentionally_act,inheritance,Exercising
Intentionally_act,inheritance,Contacting
Intentionally_act,inheritance,Medical_intervention
Lose_possession,inheritance,Giving
Pre_lose_possession,inheritance,Pre_giving
Post_lose_possession,inheritance,Post_giving
Lose_possession_scenario,inheritance,Giving_scenario
Rewards_and_punishments,inheritance,Fining
Rewards_and_punishments,inheritance,Corporal_punishment
Rewards_and_punishments,inheritance,Execution
Rewards_and_punishments,inheritance,Revenge
Being_named,inheritance,Appellations
Intentionally_affect,inheritance,Rewards_and_punishments
Intentionally_affect,inheritance,Cutting
Intentionally_affect,inheritance,Attack
