parent,relation,child
Causation,perspective_on,Means
Causation,inheritance,Cause_to_start
Communication,inheritance,Communication_noise
Communication,using,Reasoning
Communication,using,Contacting
Communication,using,Encoding
Communication,using,Volubility
Communication,using,Text_creation
Communication,using,Attempt_suasion
Communication,using,Candidness
Communication,using,Bail_decision
Communication,using,Claim_ownership
Communication,using,Commitment
Communication,using,Communication_means
Communication,using,Discussion
Communication,using,Entering_of_plea
Communication,using,Justifying
Communication,using,Name_conferral
Communication,using,Notification_of_charges
Communication,using,Prevarication
Communication,using,Hearsay
Communication,using,Questioning
Communication,using,Reporting
Communication,using,Request
Communication,using,Sentencing
Communication,using,Speak_on_topic
Communication,using,Verdict
Communication,inheritance,Reassuring
Communication,using,Convey_importance
Communication,using,Successfully_communicate_message
Communication,inheritance,Gesture
Communication,inheritance,Communication_manner
Communication,using,Expressing_publicly
Communication,inheritance,Communication_response
Communication,inheritance,Summarizing
Communication,using,Legal_rulings
Communication,perspective_on,Mention
Communication,using,Concessive
Communication,using,Statement
Motion,using,Operate_vehicle
Motion,using,Body_movement
Motion,inheritance,Mass_motion
Motion,inheritance,Motion_directional
Motion,using,Bringing
Motion,using,Cotheme
Motion,using,Departing
Motion,using,Evading
Motion,using,Excreting
Motion,using,Removing
Motion,see_also,Bringing
Motion,see_also,Operate_vehicle
Motion,see_also,Self_motion
Motion,see_also,Ride_vehicle
Motion,using,Placing
Motion,using,Emanating
Motion,using,Light_movement
Motion,using,Redirecting
Motion,inheritance,Self_motion
Motion,subframe,Getting_underway
Motion,subframe,Halt
Motion,using,Path_traveled
Motion,using,Change_direction
Motion,using,Roadways
Motion,inheritance,Motion_noise
Motion,inheritance,Fluidic_motion
Perception,inheritance,Perception_active
Perception,inheritance,Give_impression
Perception,inheritance,Perception_experience
Perception,inheritance,Becoming_aware
Perception,using,Make_noise
Perception,inheritance,Sensation
Perception,using,Location_of_light
Perception,using,Sounds
Reciprocality,inheritance,Exchange
Reciprocality,inheritance,Amalgamation
Reciprocality,inheritance,Being_attached
Reciprocality,inheritance,Make_acquaintance
Reciprocality,inheritance,Collaboration
Reciprocality,inheritance,Commercial_transaction
Reciprocality,perspective_on,Asymmetric_reciprocality
Reciprocality,perspective_on,Symmetrical_collective_reciprocality
Reciprocality,inheritance,Similarity
Reciprocality,inheritance,Chatting
Reciprocality,using,Commonality
Reciprocality,using,Participation
Reciprocality,inheritance,Sharing
Reciprocality,inheritance,Arithmetic
Transitive_action,inheritance,Cause_change_of_phase
Transitive_action,inheritance,Cause_change_of_position_on_a_scale
Transitive_action,inheritance,Cause_impact
Transitive_action,inheritance,Cause_motion
Transitive_action,inheritance,Cause_temperature_change
Transitive_action,inheritance,Cause_to_be_dry
Transitive_action,inheritance,Cause_to_be_sharp
Transitive_action,inheritance,Cause_to_be_wet
Transitive_action,inheritance,Cause_to_continue
Transitive_action,inheritance,Cause_to_end
Transitive_action,inheritance,Cause_to_fragment
Transitive_action,inheritance,Cause_to_make_noise
Transitive_action,inheritance,Cause_to_move_in_place
Transitive_action,inheritance,Cause_to_resume
Transitive_action,inheritance,Cause_to_wake
Transitive_action,inheritance,Destroying
Transitive_action,inheritance,Damaging
Transitive_action,inheritance,Rejuvenation
Transitive_action,inheritance,Cause_change_of_consistency
Transitive_action,inheritance,Corroding_caused
Transitive_action,inheritance,Setting_fire
Transitive_action,inheritance,Endangering
Transitive_action,inheritance,Cause_expansion
Transitive_action,inheritance,Render_nonfunctional
Transitive_action,inheritance,Cause_change_of_strength
Transitive_action,inheritance,Cause_change
Transitive_action,inheritance,Grinding
Transitive_action,inheritance,Cause_to_rot
Transitive_action,inheritance,Cause_to_be_included
Transitive_action,inheritance,Container_focused_removing
Transitive_action,inheritance,Removing
Transitive_action,inheritance,Placing
Transitive_action,inheritance,Container_focused_placing
Transitive_action,inheritance,Creating
Transitive_action,inheritance,Cause_bodily_experience
Transitive_action,inheritance,Downing
Transitive_action,inheritance,Erasing
Transitive_action,inheritance,Imposing_obligation
Transitive_action,inheritance,Intentionally_affect
Transitive_action,inheritance,Interrupt_process
Transitive_action,inheritance,Killing
Transitive_action,inheritance,Cure
Transitive_action,inheritance,Cause_to_be_clean
Transitive_action,inheritance,Hypertext_access
Transitive_action,inheritance,Repairing
Duplication,inheritance,Forging
Feigning,reframing_mapping,Artificiality
Feigning,reframing_mapping,Forging
Feigning,reframing_mapping,Posing_as
Cause_to_amalgamate,reframing_mapping,Amalgamation
Cause_to_amalgamate,causative_of,Amalgamation
Separating,causative_of,Becoming_separated
Body_movement,using,Facial_expression
Body_movement,reframing_mapping,Making_faces
Body_movement,reframing_mapping,Statement
Manipulation,using,Cause_to_move_in_place
Manipulation,inheritance,Ingestion
Manipulation,using,Attempt_distant_interaction_scenario
Manipulation,inheritance,Aiming
Posture,reframing_mapping,Change_posture
Awareness,reframing_mapping,Categorization
Awareness,reframing_mapping,Emotion_directed
Awareness,reframing_mapping,Expertise
Awareness,reframing_mapping,Coming_up_with
Awareness,reframing_mapping,Attention
Awareness,using,Religious_belief
Awareness,using,Secrecy_status
Awareness,see_also,Opinion
Awareness,reframing_mapping,Opinion
Awareness,inheritance,Grasp
Awareness,using,Examination
Awareness,inheritance,Expectation
Awareness,using,Certainty
Awareness,using,Remembering_information
Awareness,using,Fame
Awareness,using,Representing
Awareness,using,Impression
Awareness,see_also,Certainty
Becoming_aware,reframing_mapping,Coming_to_believe
Becoming_aware,using,Scrutiny
Categorization,reframing_mapping,Awareness
Categorization,reframing_mapping,Communicate_categorization
Categorization,reframing_mapping,Statement
Categorization,using,Communicate_categorization
Categorization,using,Being_in_category
Cogitation,using,Research
Cogitation,inheritance,Assessing
Cogitation,inheritance,Memorization
Cogitation,using,Remembering_experience
Cogitation,inheritance,Worry
Cogitation,inheritance,Adding_up
Cogitation,inheritance,Adopt_selection
Cogitation,inheritance,Scheduling
Coming_to_believe,inchoative_of,Awareness
Coming_to_believe,using,Turning_out
Coming_to_believe,using,Fall_for
Coming_to_believe,inheritance,See_through
Evidence,using,Explaining_the_facts
Evidence,using,Sign
Expectation,using,Predicting
Coming_up_with,reframing_mapping,Achieving_first
Coming_up_with,reframing_mapping,Creating
Judgment,see_also,Judgment_communication
Judgment,reframing_mapping,Judgment_communication
Judgment,using,Judgment_communication
Judgment,using,Regard
Judgment,using,Praiseworthiness
Judgment,using,Exemplar
Mental_property,reframing_mapping,Expertise
Mental_property,using,Losing_it
Scrutiny,inheritance,Reading_perception
Scrutiny,reframing_mapping,Seeking
Scrutiny,inheritance,Verification
Scrutiny,reframing_mapping,Research
Scrutiny,reframing_mapping,Scouring
Scrutiny,inheritance,Scrutinizing_for
Scrutiny,inheritance,Research
Scrutiny,using,Experimentation
Commitment,using,Make_agreement_on_action
Commitment,using,Going_back_on_a_commitment
Commitment,inheritance,Threatening
Discussion,reframing_mapping,Quarreling
Discussion,reframing_mapping,Chatting
Discussion,reframing_mapping,Topic
Discussion,using,Point_of_dispute
Discussion,inheritance,Quarreling
Discussion,using,Jury_deliberation
Discussion,using,Meet_with
Encoding,reframing_mapping,Statement
Hearsay,reframing_mapping,Perception_experience
Questioning,using,Court_examination
Request,reframing_mapping,Telling
Request,reframing_mapping,Questioning
Request,inheritance,Request_entity
Request,inheritance,Political_actions
Request,inheritance,Appeal
Communication_response,using,Respond_to_proposal
Statement,reframing_mapping,Telling
Statement,reframing_mapping,Speak_on_topic
Statement,using,Judgment_communication
Statement,inheritance,Reveal_secret
Statement,reframing_mapping,Reveal_secret
Statement,using,Renunciation
Statement,using,Attributed_information
Statement,using,Adducing
Statement,inheritance,Complaining
Statement,reframing_mapping,Bragging
Statement,reframing_mapping,Complaining
Statement,reframing_mapping,Commitment
Statement,reframing_mapping,Expressing_publicly
Statement,reframing_mapping,Encoding
Statement,reframing_mapping,Translating
Statement,reframing_mapping,Successfully_communicate_message
Statement,inheritance,Recording
Statement,using,Unattributed_information
Statement,using,Chatting
Statement,inheritance,Telling
Statement,inheritance,Predicting
Statement,inheritance,Reading_aloud
Statement,inheritance,Affirm_or_deny
Emotion_directed,reframing_mapping,Experiencer_focused_emotion
Emotion_directed,reframing_mapping,Worry
Stimulate_emotion,reframing_mapping,Emotion_directed
Experiencer_focused_emotion,reframing_mapping,Emotion_directed
Experiencer_focused_emotion,reframing_mapping,Feeling
Experiencer_focused_emotion,reframing_mapping,Desiring
Experiencer_focused_emotion,using,Desirability
Experiencer_focused_emotion,inheritance,Mental_stimulus_exp_focus
Experiencer_focused_emotion,using,Tolerating
Experiencer_focused_emotion,inheritance,Desiring
Experiencer_focused_emotion,reframing_mapping,Fear
Cure,using,Medical_interaction_scenario
Cure,causative_of,Recovery
Cure,using,Institutionalization
Cure,metaphorical_projection,Resolve_problem
Recovery,precedes,Cure
Health_response,using,Allergens
Death,reframing_mapping,Offenses
Death,reframing_mapping,Cause_harm
Death,inchoative_of,Dead_or_alive
Arriving,using,Having_or_lacking_access
Arriving,inheritance,Visiting_scenario_arrival
Arriving,inheritance,Vehicle_landing
Cause_motion,using,Bringing
Cause_motion,using,Gathering_up
Cause_motion,using,Ingestion
Cause_motion,using,Excreting
Cause_motion,reframing_mapping,Bringing
Cause_motion,inheritance,Cause_fluidic_motion
Cause_motion,subframe,Placing
Cause_motion,subframe,Removing
Cause_motion,inheritance,Shoot_projectiles
Cause_motion,inheritance,Passing
Cause_motion,see_also,Bringing
Cause_motion,see_also,Filling
Cause_motion,see_also,Placing
Cause_motion,see_also,Removing
Cause_motion,see_also,Emptying
Cause_motion,causative_of,Motion
Cotheme,reframing_mapping,Evading
Cotheme,reframing_mapping,Escaping
Cotheme,using,Entourage
Departing,inheritance,Escaping
Departing,reframing_mapping,Quitting_a_place
Departing,inheritance,Quitting_a_place
Departing,reframing_mapping,Setting_out
Departing,precedes,Arriving
Departing,using,Disembarking
Departing,inheritance,Visiting_scenario_departing
Filling,causative_of,Fullness
Path_shape,reframing_mapping,Departing
Path_shape,reframing_mapping,Avoiding
Path_shape,using,Traversing
Path_shape,reframing_mapping,Traversing
Path_shape,reframing_mapping,Change_posture
Placing,see_also,Removing
Placing,see_also,Filling
Placing,reframing_mapping,Bringing
Placing,reframing_mapping,Dispersal
Placing,reframing_mapping,Cause_fluidic_motion
Placing,reframing_mapping,Arranging
Placing,using,Dressing
Placing,using,Arranging
Placing,using,Installing
Placing,using,Storing
Placing,inheritance,Dispersal
Placing,reframing_mapping,Attaching
Placing,reframing_mapping,Planting
Placing,using,Dunking
Placing,inheritance,Burying
Removing,reframing_mapping,Kidnapping
Removing,reframing_mapping,Emptying
Removing,reframing_mapping,Excreting
Removing,reframing_mapping,Escaping
Removing,using,Undressing
Removing,precedes,Placing
Removing,using,Dunking
Self_motion,inheritance,Cotheme
Self_motion,reframing_mapping,Ride_vehicle
Self_motion,reframing_mapping,Body_movement
Self_motion,subframe,Quitting_a_place
Self_motion,inheritance,Intentional_traversing
Self_motion,inheritance,Travel
Self_motion,reframing_mapping,Escaping
Self_motion,inheritance,Fleeing
Self_motion,reframing_mapping,Fleeing
Operate_vehicle,reframing_mapping,Ride_vehicle
Operate_vehicle,reframing_mapping,Bringing
Operate_vehicle,reframing_mapping,Self_motion
Operate_vehicle,using,Piracy
Perception_active,see_also,Perception_experience
Perception_active,using,Scrutiny
Perception_active,inheritance,Touring
Perception_active,using,Hypertext_access
Give_impression,using,Want_suspect
Give_impression,using,Chemical-sense_description
Make_noise,using,Communication_noise
Make_noise,reframing_mapping,Cause_to_make_noise
Make_noise,reframing_mapping,Motion_noise
Make_noise,reframing_mapping,Fluidic_motion
Make_noise,reframing_mapping,Friction
Make_noise,reframing_mapping,Sounds
Make_noise,reframing_mapping,Impact
Make_noise,reframing_mapping,Absorb_heat
Make_noise,see_also,Friction
Make_noise,see_also,Cause_impact
Make_noise,see_also,Impact
Make_noise,see_also,Sounds
Make_noise,see_also,Cause_to_make_noise
Make_noise,see_also,Motion_noise
Make_noise,see_also,Sound_movement
Perception_experience,using,Perception_body
Perception_experience,using,Eclipse
Perception_experience,inheritance,Punctual_perception
Change_of_leadership,causative_of,Leadership
Change_of_leadership,reframing_mapping,Appointing
Change_of_leadership,using,Reject_leadership
Change_of_leadership,see_also,Reject_leadership
Change_of_leadership,reframing_mapping,Reject_leadership
Leadership,using,Political_locales
Sociability,see_also,Social_interaction_evaluation
Distributed_position,see_also,Abounding_with
Distributed_position,see_also,Filling
Cause_expansion,reframing_mapping,Expansion
Cause_expansion,reframing_mapping,Cause_change_of_position_on_a_scale
Cause_expansion,causative_of,Expansion
Duration_description,using,Taking_time
Frequency,using,Custom
Relative_time,reframing_mapping,Change_event_time
Relative_time,see_also,Time_vector
Relative_time,reframing_mapping,Temporal_collocation
Commerce_scenario,reframing_mapping,Commerce_buy
Commerce_scenario,reframing_mapping,Commerce_sell
Commerce_scenario,reframing_mapping,Commerce_pay
Commerce_scenario,reframing_mapping,Commerce_collect
Commerce_scenario,using,Businesses
Commerce_scenario,using,Expensiveness
Commerce_scenario,reframing_mapping,Expensiveness
Commerce_scenario,subframe,Commercial_transaction
Commerce_scenario,subframe,Having_commercial_agreement
Commerce_scenario,using,Exchange_currency
Frugality,reframing_mapping,Stinginess
Attempt_suasion,using,Suasion
Eventive_affecting,using,Social_event
Eventive_affecting,using,Memory
Eventive_affecting,using,Coming_up_with
Eventive_affecting,inheritance,Transfer
Eventive_affecting,inheritance,Lose_possession
Eventive_affecting,using,Activity_stop
Eventive_affecting,using,Activity_start
Eventive_affecting,using,Activity_prepare
Eventive_affecting,using,Activity_pause
Eventive_affecting,inheritance,Causation
Eventive_affecting,using,Undergoing
Eventive_affecting,inheritance,Historic_event
Eventive_affecting,inheritance,Aging
Eventive_affecting,inheritance,Response
Eventive_affecting,inheritance,Arriving
Eventive_affecting,inheritance,Departing
Eventive_affecting,using,Catastrophe
Eventive_affecting,using,Individual_history
Eventive_affecting,inheritance,Eventive_cognizer_affecting
Eventive_affecting,inheritance,Destiny
Eventive_affecting,inheritance,Explosion
Suasion,using,Talking_into
Suasion,causative_of,Deciding
Change_position_on_a_scale,inchoative_of,Position_on_a_scale
Change_position_on_a_scale,inheritance,Proliferating_in_number
Change_position_on_a_scale,using,Remainder
Change_position_on_a_scale,using,Change_of_quantity_of_possession
Change_position_on_a_scale,inheritance,Change_of_temperature
Manipulate_into_doing,inheritance,Talking_into
Hostile_encounter,perspective_on,Attack
Hostile_encounter,inheritance,Fighting_activity
Hostile_encounter,using,Member_of_military
Hostile_encounter,using,Friendly_or_hostile
Hostile_encounter,using,Irregular_combatants
Hostile_encounter,using,Firefighting
Theft,using,Robbery
Position_on_a_scale,using,Delimitation_of_diversity
Position_on_a_scale,reframing_mapping,Delimitation_of_diversity
Position_on_a_scale,inheritance,Used_up
Position_on_a_scale,inheritance,Sufficiency
Position_on_a_scale,inheritance,Evaluative_comparison
Position_on_a_scale,inheritance,Surpassing
Position_on_a_scale,using,Probability
Cause_change_of_position_on_a_scale,causative_of,Change_position_on_a_scale
Cause_change_of_position_on_a_scale,inheritance,Cause_proliferation_in_number
Eventive_cognizer_affecting,using,Suasion
Eventive_cognizer_affecting,causative_of,Purpose
Eventive_cognizer_affecting,inheritance,Suasion
Personal_relationship,reframing_mapping,Forming_relationships
Aggregate,inheritance,Store
Aggregate,inheritance,Organization
Aggregate,inheritance,Entourage
Aggregate,inheritance,Convoy
Aggregate,inheritance,Product_line
Aggregate,inheritance,Team
Aggregate,inheritance,Alliance
Location_of_light,reframing_mapping,Light_movement
Location_of_light,see_also,Light_movement
Gizmo,using,Being_in_operation
Examination,using,Course
Dimension,reframing_mapping,Measurable_attributes
Dimension,inheritance,Quantity
Residence,using,People_by_residence
Residence,using,Colonization
Residence,inheritance,Temporary_stay
Education_teaching,subframe,Teaching_learning_process
Education_teaching,subframe,Examination
Education_teaching,using,Education_professional
Education_teaching,using,Student_body
Education_teaching,subframe,Studying
Cause_harm,reframing_mapping,Corporal_punishment
Cause_harm,using,Toxic_substance
Cause_harm,reframing_mapping,Cause_impact
Cause_harm,using,Abusing
Cause_harm,inheritance,Corporal_punishment
Cause_harm,using,Violence
Cause_harm,using,Terrorism
Cause_harm,using,Rape
Cause_harm,causative_of,Being_hurt
Likelihood,inheritance,Run_risk
Likelihood,using,Capability
Likelihood,using,Luck
Catastrophe,using,Accident
Attempt,precedes,Success_or_failure
Attempt,inheritance,Work
Attempt,inheritance,Attempt_suasion
Attempt,inheritance,Attempt_means
Attempt,inheritance,Reject_leadership
Compliance,using,Legality
Compliance,using,Strictness
Possession,inheritance,Pre_lose_possession
Possession,inheritance,Post_lose_possession
Possession,inheritance,Pre_getting
Possession,inheritance,Post_getting
Possession,inheritance,Pre_transfer
Possession,inheritance,Post_transfer
Possession,using,Wealthiness
Possession,using,Locale_by_ownership
Possession,using,Change_of_quantity_of_possession
Possession,using,Sacrificing_for
Possession,inheritance,Retaining
Possession,using,Capital_stock
Possession,inheritance,Bearing_arms
Arraignment,subframe,Bail_decision
Arraignment,subframe,Notification_of_charges
Arraignment,subframe,Entering_of_plea
Arraignment,precedes,Trial
Activity,inheritance,Apply_heat
Activity,subframe,Activity_finish
Activity,subframe,Activity_ongoing
Activity,subframe,Activity_ready_state
Activity,subframe,Activity_prepare
Activity,subframe,Activity_pause
Activity,subframe,Activity_stop
Activity,subframe,Activity_abandoned_state
Activity,subframe,Activity_done_state
Activity,subframe,Activity_paused_state
Activity,subframe,Activity_start
Activity,subframe,Activity_resume
Social_event,inheritance,Social_event_collective
Social_event,inheritance,Social_event_individuals
Hair_configuration,reframing_mapping,Grooming
Type,using,Diversity
Type,inheritance,Biological_classification
Notification_of_charges,precedes,Entering_of_plea
Entering_of_plea,precedes,Bail_decision
Instance,using,Categorization
Instance,using,Identicality
Instance,using,Sole_instance
Instance,inheritance,Event_instance
Instance,inheritance,Exemplar
Instance,perspective_on,Typicality
Process_start,inheritance,Activity_start
Process_start,inchoative_of,Process_continue
Process_start,precedes,Process_continue
Process_start,inheritance,Come_into_effect
Clothing,using,Clothing_parts
Clothing,using,Wearing
Clothing,using,Undressing
Clothing,using,Dressing
Clothing,reframing_mapping,Armor
Memory,using,Evoking
Memory,reframing_mapping,Remembering_to_do
Memory,reframing_mapping,Remembering_experience
Memory,reframing_mapping,Remembering_information
Expertise,reframing_mapping,Desirability
