idFrameElement,frameName,name,coreType,description
8883,Abandonment,Agent,cty_core,The person who acts to leave behind the #Theme.
8884,Abandonment,Theme,cty_core,The entity that is relinquished to no one from the #Agent's possession.
8885,Abandonment,Place,cty_peripheral,The location where the #Agent gives up the #Theme.
8886,Abandonment,Time,cty_peripheral,When the #Agent gives up the #Theme.
8887,Abandonment,Manner,cty_peripheral,The style in which the #Agent gives up the #Theme.
8888,Abandonment,Duration,cty_peripheral,For what expanse of time the #Agent has given up the #Theme.
8891,Abandonment,Degree,cty_peripheral,The extent to which the #Agent leaves the #Theme behind.
8892,Abandonment,Means,cty_peripheral,An action performed by the #Agent that accomplishes the action indicated by the target.
8893,Abandonment,Purpose,cty_peripheral,The purpose for which the #Agent abandons the #Theme.
2492,Abounding_with,Theme,cty_core,The #Theme covers or fills the #Location.  This FE most frequently occurs in a PP Complement headed by with or in.
2493,Abounding_with,Location,cty_core,It is the object or area that the #Theme fills or covers.  This frame element generally occurs as the External Argument.
2494,Abounding_with,Degree,cty_peripheral,It identifies the #Degree of abundance with which the #Theme covers or fills the #Location.
2496,Abounding_with,Time,cty_peripheral,The period of time during which the Abounding_with event occurs.
4786,Absorb_heat,Entity,cty_core,The #Entity (often a food item) that absorbs heat.
4787,Absorb_heat,Container,cty_core,The #Container that holds the #Entity that absorbs the heat.
4788,Absorb_heat,Heat_source,cty_core,The object that directly supplies heat to the #Entity.
4789,Absorb_heat,Place,cty_peripheral,Where the heat application occurs.
4790,Absorb_heat,Medium,cty_peripheral,A substance through which heat is absorbed by the #Entity.
4791,Absorb_heat,Manner,cty_peripheral,"Any description of the cooking event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way)."
4792,Absorb_heat,Time,cty_peripheral,The #Time when the heat absorption takes place.
4794,Absorb_heat,Temperature,cty_peripheral,"The temperature that the #Entity stays at, resulting in change."
4795,Absorb_heat,Duration,cty_peripheral,The length of time that the #Entity is exposed to heat.
7036,Abundance,Collection,cty_core,The #Collection whose #Quantity is under consideration.
7037,Abundance,Quantity,cty_core,The feature of an #Collection which is under discussion. This FE is incorporated by all the lexical units in this frame.
7042,Abundance,Place,cty_core,The location in which the #Collection occurs.
7038,Abundance,Degree,cty_peripheral,A modifier expressing the deviation of the #Measure from the norm or from the value for another #Collection.
7041,Abundance,Measure,cty_peripheral,"The measure of the #Quantity, which is incorporated by the lexical units."
4174,Abusing,Abuser,cty_core,"The #Abuser subjects the #Victim to repeated verbal, physical, emotional or sexual attacks."
4175,Abusing,Victim,cty_core,It is the recipient of the #Abuser's actions.
4176,Abusing,Type,cty_peripheral,It is used for the domain in which the #Abuser mistreats the #Victim.
4178,Abusing,Place,cty_peripheral,It identifies the #Place where the abuse occurs.
4179,Abusing,Time,cty_peripheral,It identifies the #Time when the abuse occurs.
4180,Abusing,Manner,cty_peripheral,"It is used for any description of the abuse event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of an #Abuser that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully)."
4181,Abusing,Means,cty_peripheral,It identifies the #Means by which the #Abuser accomplishes the abuse.
4182,Abusing,Instrument,cty_peripheral,An entity used by the #Abuser to accomplish the abuse.
4183,Abusing,Purpose,cty_peripheral,An action that the #Abuser intends to accomplish by performing the abuse. 
4185,Abusing,Duration,cty_peripheral,The amount of time that abuse occurs.
8130,Access_scenario,Theme,cty_core,The #Theme whose motion is blocked or free.
8131,Access_scenario,Useful_location,cty_core,"The place or thing that the #Theme is headed towards, despite a potential or actual #Barrier."
8132,Access_scenario,Barrier,cty_core,An entity that (at least potentially) prevents the #Theme from getting to the #Useful_location.
13420,Accident,Accident,cty_core,Accident
13423,Accident,Victim,cty_core,Victim
13419,Accident,Type,cty_peripheral,Type
13421,Accident,Place,cty_peripheral,Place
13422,Accident,Time,cty_peripheral,Time
13424,Accident,Cause,cty_peripheral,Cause
13425,Accident,Description,cty_peripheral,Description
13426,Accident_description,Accident,cty_core,Accident
13427,Accident_description,Description,cty_core,Description
13428,Accident_description,Degree,cty_peripheral,Degree
11396,Accommodation,Lodge,cty_core,The commercial lodge that offers accommodation to tourists.
11397,Accommodation,Rate,cty_peripheral,"It indicates the characteristics of #Lodge in relation to aspects of accommodation, such as luxury, price and number of stars."
11398,Accommodation,Type,cty_peripheral,"Which is the type of establishment offering its services. Usually, #Types are defined in regards to the #Lodge s location, such as farm or jungle hotels, or to some specific characteristic other than the ones covered by the #Rate, such as green hotels."
11519,Accommodation,Place,cty_peripheral,The #Place where the #Lodge is located.
11520,Accommodation,Tourist,cty_peripheral,The individual or group that use the #Lodge.
11521,Accommodation,Purpose,cty_peripheral,Some specific action made possible by the #Lodge.
