idFrameElement,frameName,name,coreType,description,Role+AF8-Type
8883,Abandonment,Agent,cty+AF8-core,The person who acts to leave behind the +ACM-Theme.,Participant
8884,Abandonment,Theme,cty+AF8-core,The entity that is relinquished to no one from the +ACM-Agent's possession.,Undergoer
8885,Abandonment,Place,cty+AF8-peripheral,The location where the +ACM-Agent gives up the +ACM-Theme.,Path/Location
8886,Abandonment,Time,cty+AF8-peripheral,When the +ACM-Agent gives up the +ACM-Theme.,Time/Duration
8887,Abandonment,Manner,cty+AF8-peripheral,The style in which the +ACM-Agent gives up the +ACM-Theme.,Manner/Means
8888,Abandonment,Duration,cty+AF8-peripheral,For what expanse of time the +ACM-Agent has given up the +ACM-Theme.,Path/Location
8891,Abandonment,Degree,cty+AF8-peripheral,The extent to which the +ACM-Agent leaves the +ACM-Theme behind.,Path/Location
8892,Abandonment,Means,cty+AF8-peripheral,An action performed by the +ACM-Agent that accomplishes the action indicated by the target.,Instrument
8893,Abandonment,Purpose,cty+AF8-peripheral,The purpose for which the +ACM-Agent abandons the +ACM-Theme.,Goal/Result
2492,Abounding+AF8-with,Theme,cty+AF8-core,The +ACM-Theme covers or fills the +ACM-Location.  This FE most frequently occurs in a PP Complement headed by with or in.,Undergoer
2493,Abounding+AF8-with,Location,cty+AF8-core,It is the object or area that the +ACM-Theme fills or covers.  This frame element generally occurs as the External Argument.,Path/Location
2494,Abounding+AF8-with,Degree,cty+AF8-peripheral,It identifies the +ACM-Degree of abundance with which the +ACM-Theme covers or fills the +ACM-Location.,Path/Location
2496,Abounding+AF8-with,Time,cty+AF8-peripheral,The period of time during which the Abounding+AF8-with event occurs.,Time/Duration
4786,Absorb+AF8-heat,Entity,cty+AF8-core,The +ACM-Entity (often a food item) that absorbs heat.,Path/Location
4787,Absorb+AF8-heat,Container,cty+AF8-core,The +ACM-Container that holds the +ACM-Entity that absorbs the heat.,Path/Location
4788,Absorb+AF8-heat,Heat+AF8-source,cty+AF8-core,The object that directly supplies heat to the +ACM-Entity.,Path/Location
4789,Absorb+AF8-heat,Place,cty+AF8-peripheral,Where the heat application occurs.,Path/Location
4790,Absorb+AF8-heat,Medium,cty+AF8-peripheral,A substance through which heat is absorbed by the +ACM-Entity.,Path/Location
4791,Absorb+AF8-heat,Manner,cty+AF8-peripheral,+ACI-Any description of the cooking event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way).+ACI-,Manner/Means
4792,Absorb+AF8-heat,Time,cty+AF8-peripheral,The +ACM-Time when the heat absorption takes place.,Path/Location
4794,Absorb+AF8-heat,Temperature,cty+AF8-peripheral,+ACI-The temperature that the +ACM-Entity stays at, resulting in change.+ACI-,Path/Location
4795,Absorb+AF8-heat,Duration,cty+AF8-peripheral,The length of time that the +ACM-Entity is exposed to heat.,Path/Location
7036,Abundance,Collection,cty+AF8-core,The +ACM-Collection whose +ACM-Quantity is under consideration.,Path/Location
7037,Abundance,Quantity,cty+AF8-core,The feature of an +ACM-Collection which is under discussion. This FE is incorporated by all the lexical units in this frame.,Path/Location
7042,Abundance,Place,cty+AF8-core,The location in which the +ACM-Collection occurs.,Path/Location
7038,Abundance,Degree,cty+AF8-peripheral,A modifier expressing the deviation of the +ACM-Measure from the norm or from the value for another +ACM-Collection.,Path/Location
7041,Abundance,Measure,cty+AF8-peripheral,+ACI-The measure of the +ACM-Quantity, which is incorporated by the lexical units.+ACI-,Path/Location
4174,Abusing,Abuser,cty+AF8-core,+ACI-The +ACM-Abuser subjects the +ACM-Victim to repeated verbal, physical, emotional or sexual attacks.+ACI-,Path/Location
4175,Abusing,Victim,cty+AF8-core,It is the recipient of the +ACM-Abuser's actions.,Undergoer
4176,Abusing,Type,cty+AF8-peripheral,It is used for the domain in which the +ACM-Abuser mistreats the +ACM-Victim.,Path/Location
4178,Abusing,Place,cty+AF8-peripheral,It identifies the +ACM-Place where the abuse occurs.,Path/Location
4179,Abusing,Time,cty+AF8-peripheral,It identifies the +ACM-Time when the abuse occurs.,Time/Duration
4180,Abusing,Manner,cty+AF8-peripheral,+ACI-It is used for any description of the abuse event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of an +ACM-Abuser that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).+ACI-,Path/Location
4181,Abusing,Means,cty+AF8-peripheral,It identifies the +ACM-Means by which the +ACM-Abuser accomplishes the abuse.,Instrument
4182,Abusing,Instrument,cty+AF8-peripheral,An entity used by the +ACM-Abuser to accomplish the abuse.,Instrument
4183,Abusing,Purpose,cty+AF8-peripheral,An action that the +ACM-Abuser intends to accomplish by performing the abuse. ,Goal/Result
4185,Abusing,Duration,cty+AF8-peripheral,The amount of time that abuse occurs.,Path/Location
8130,Access+AF8-scenario,Theme,cty+AF8-core,The +ACM-Theme whose motion is blocked or free.,Undergoer
8131,Access+AF8-scenario,Useful+AF8-location,cty+AF8-core,+ACI-The place or thing that the +ACM-Theme is headed towards, despite a potential or actual +ACM-Barrier.+ACI-,Path/Location
8132,Access+AF8-scenario,Barrier,cty+AF8-core,An entity that (at least potentially) prevents the +ACM-Theme from getting to the +ACM-Useful+AF8-location.,Path/Location
13420,Accident,Accident,cty+AF8-core,Accident,Unclassified
13423,Accident,Victim,cty+AF8-core,Victim,Undergoer
13419,Accident,Type,cty+AF8-peripheral,Type,Unclassified
13421,Accident,Place,cty+AF8-peripheral,Place,Path/Location
13422,Accident,Time,cty+AF8-peripheral,Time,Time/Duration
13424,Accident,Cause,cty+AF8-peripheral,Cause,Cause/Stimulus
13425,Accident,Description,cty+AF8-peripheral,Description,Unclassified
13426,Accident+AF8-description,Accident,cty+AF8-core,Accident,Unclassified
13427,Accident+AF8-description,Description,cty+AF8-core,Description,Unclassified
13428,Accident+AF8-description,Degree,cty+AF8-peripheral,Degree,Unclassified
11396,Accommodation,Lodge,cty+AF8-core,The commercial lodge that offers accommodation to tourists.,Path/Location
11397,Accommodation,Rate,cty+AF8-peripheral,+ACI-It indicates the characteristics of +ACM-Lodge in relation to aspects of accommodation, such as luxury, price and number of stars.+ACI-,Path/Location
11398,Accommodation,Type,cty+AF8-peripheral,+ACI-Which is the type of establishment offering its services. Usually, +ACM-Types are defined in regards to the +ACM-Lodge s location, such as farm or jungle hotels, or to some specific characteristic other than the ones covered by the +ACM-Rate, such as green hotels.+ACI-,Path/Location
11519,Accommodation,Place,cty+AF8-peripheral,The +ACM-Place where the +ACM-Lodge is located.,Path/Location
11520,Accommodation,Tourist,cty+AF8-peripheral,The individual or group that use the +ACM-Lodge.,Path/Location
11521,Accommodation,Purpose,cty+AF8-peripheral,Some specific action made possible by the +ACM-Lodge.,Goal/Result
2455,Accompaniment,Participant,cty+AF8-core,It is the accompanied entity (person or object).,Possession/Whole+AC0-Part
2456,Accompaniment,Co+AC0-participant,cty+AF8-core,It is the accompanying entity (person or object).,Possession/Whole+AC0-Part
2457,Accompaniment,Participants,cty+AF8-core,Two or more entities construed as symmetrically and usually equally participating in an event or relation.,Path/Location
6586,Accomplishment,Agent,cty+AF8-core,+ACI-The conscious entity, generally a person, that performs the intentional act that fulfills the +ACM-Goal.+ACI-,Participant
6593,Accomplishment,Goal,cty+AF8-core,+ACI-The state or action that the +ACM-Agent has wished to participate in.

+ADw-ex+AD4-Iraq had +ADw-t+AD4-achieved+ADw-/t+AD4- +ADw-fex name+AD0AIgAi-goa+ACIAIgA+-its programme objective of producing nuclear weapons+ADw-/fex+AD4- . +ADw-/ex+AD4-+ACI-,Goal/Result
6585,Accomplishment,Means,cty+AF8-peripheral,+ACI-An intentional action performed by the +ACM-Agent that lets them accomplish their +ACM-Goal. 

+ADw-ex+AD4-Can you , too , +ADw-t+AD4-achieve+ADw-/t+AD4- omniscience +ADw-fex name+AD0AIgAi-Mns+ACIAIgA+-by calling on the power of God+ADw-/fex+AD4- ?+ADw-/ex+AD4-+ACI-,Instrument
6587,Accomplishment,Instrument,cty+AF8-peripheral,+ACI-An entity directed by the +ACM-Agent that allows them to achieve their +ACM-Goal.

+ADw-ex+AD4APA-fex name+AD0AIgAi-Ins+ACIAIgA+-With a simple hammer and saw+ADw-/fex+AD4- , you can +ADw-t+AD4-accomplish+ADw-/t+AD4- almost anything +ACEAPA-/ex+AD4-+ACI-,Instrument
6588,Accomplishment,Place,cty+AF8-peripheral,+ACI-This FE identifies the place where the +ACM-Agent achieves their +ACM-Goal.

+ADw-ex+AD4-She had already +ADw-t+AD4-achieved+ADw-/t+AD4- that feat +ADw-fex name+AD0AIgAi-Place+ACIAIgA+-in Burma+ADw-/fex+AD4- .+ADw-/ex+AD4-+ACI-,Path/Location
6589,Accomplishment,Time,cty+AF8-peripheral,+ACI-This FE identifies the time when the +ACM-Agent achieves their +ACM-Goal.

+ADw-ex+AD4APA-fex name+AD0AIgAi-Time+ACIAIgA+-By 1700+ADw-/fex+AD4- , our forces will have +ADw-t+AD4-achieved+ADw-/t+AD4- total victory .+ADw-/ex+AD4-+ACI-,Path/Location
6590,Accomplishment,Manner,cty+AF8-peripheral,+ACI-Any description of the event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of the +ACM-Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully). 

+ADw-ex+AD4-Perhaps you +ADw-t+AD4-achieved+ADw-/t+AD4- perfection +ADw-fex name+AD0AIgAi-man+ACIAIgA+-too quickly+ADw-/fex+AD4- .+ADw-/ex+AD4-+ACI-,Path/Location
6596,Accomplishment,Duration,cty+AF8-peripheral,The length of time that it takes for +ACM-Goal to be accomplished.,Path/Location
1621,Accoutrements,Accoutrement,cty+AF8-core,It identifies  the +ACM-Accoutrement.,Unclassified
1618,Accoutrements,Wearer,cty+AF8-peripheral,The +ACM-Wearer wears the +ACM-Accoutrement.,Unclassified
1619,Accoutrements,Style,cty+AF8-peripheral,It identifies  the +ACM-Style of the +ACM-Accoutrement. ,Manner/Means
1620,Accoutrements,Material,cty+AF8-peripheral,It identifies the +ACM-Material from which the +ACM-Accoutrement is made.,Path/Location
1622,Accoutrements,Descriptor,cty+AF8-peripheral,It identifies a characteristic or description of the +ACM-Accoutrement.,Unclassified
1623,Accoutrements,Use,cty+AF8-peripheral,It identifies the purpose for which an +ACM-Accoutrement is worn or made.,Unclassified
1624,Accoutrements,Part,cty+AF8-peripheral,It identifies a part of the +ACM-Accoutrement.,Possession/Whole+AC0-Part
1625,Accoutrements,Body+AF8-location,cty+AF8-peripheral,It identifies the place on the body where a particular +ACM-Accoutrement is located.,Path/Location
1626,Accoutrements,Creator,cty+AF8-peripheral,The individual or group who created the +ACM-Accoutrement.,Path/Location
1627,Accoutrements,Time+AF8-of+AF8-creation,cty+AF8-peripheral,The time at which the +ACM-Accoutrement was created.,Path/Location
1628,Accoutrements,Name,cty+AF8-peripheral,A name given to an individual +ACM-Accoutrement to distinguish it from all other objects.,Path/Location
8317,Accuracy,Agent,cty+AF8-core,+ACI-The individual who tries to interact with the +ACM-Target.

+ADw-ex+AD4APA-fex name+AD0AIgAi-Agent+ACIAIgA+-The mailman+ADw-/fex+AD4- is very +ADw-t+AD4-exact+ADw-/t+AD4- about addresses +AC0ALQ- he has to be .+ADw-/ex+AD4-+ACI-,Participant
8320,Accuracy,Means,cty+AF8-core,This FE identifies the +ACM-Means by which the +ACM-Agent attempts to hit a +ACM-Target+AF8-value.,Instrument
8321,Accuracy,Degree,cty+AF8-core,How closely the expected or actual location that the +ACM-Instrument interacts with corresponds to the +ACM-Target+AF8-value.,Path/Location
8324,Accuracy,Instrument,cty+AF8-core,The object manipulated by the +ACM-Agent in order to interact with the +ACM-Target.,Instrument
8326,Accuracy,Deviation,cty+AF8-core,+ACI-Expected or actual deviation from the +ACM-Target+AF8-value.

+ADw-ex+AD4-For this they would need a thermometer +ADw-t+AD4-accurate+ADw-/t+AD4- +ADw-fex name+AD0AIgAi-Deviation+ACIAIgA+-to within a microkelvin+ADw-/fex+AD4-. +ADw-/ex+AD4-+ACI-,Path/Location
3829,Achieving+AF8-first,Cognizer,cty+AF8-core,The +ACM-Cognizer comes up with or conceptualizes the +ACM-New+AF8-idea. It is normally expressed as an External Argument.,Unclassified
3830,Achieving+AF8-first,New+AF8-idea,cty+AF8-core,The +ACM-New+AF8-idea is a concept not previously present in society which the +ACM-Cognizer introduces.,Unclassified
3831,Achieving+AF8-first,Time,cty+AF8-peripheral,It identifies the +ACM-Time when the +ACM-Cognizer comes up with the +ACM-New+AF8-idea.,Time/Duration
3832,Achieving+AF8-first,Place,cty+AF8-peripheral,It identifies the +ACM-Place where the +ACM-Cognizer comes up with the +ACM-New+AF8-idea.,Path/Location
3833,Achieving+AF8-first,Means,cty+AF8-peripheral,It identifies the +ACM-Means by which the +ACM-Cognizer accomplishes the innovative achievement.,Instrument
3834,Achieving+AF8-first,Purpose,cty+AF8-peripheral,It identifies the +ACM-Purpose for which the +ACM-Cognizer creates the +ACM-New+AF8-idea.,Goal/Result
3836,Achieving+AF8-first,Field,cty+AF8-peripheral,The +ACM-Field is the general domain of endeavor to which the +ACM-Cognizer is contributing and of which the +ACM-New+AF8-idea is a part.,Path/Location
3837,Achieving+AF8-first,Instrument,cty+AF8-peripheral,An entity used by the +ACM-Cognizer to achieve the introduction of the +ACM-New+AF8-idea into society.,Instrument
